date,value
2015-02-10T21:30:48+01:00,38.43
2015-02-10T21:33:51+01:00,38.04
2015-02-10T21:36:54+01:00,0.99
2015-02-10T21:44:02+01:00,0.14
2015-02-10T22:30:51+01:00,0.06
2015-02-10T23:00:20+01:00,0.08
2015-02-10T23:07:27+01:00,0.24
2015-02-10T23:10:30+01:00,6.64
2015-02-10T23:14:34+01:00,19.13
2015-02-10T23:30:50+01:00,11.28
2015-02-10T23:37:57+01:00,2.72
2015-02-10T23:45:04+01:00,0.67
2015-02-10T23:52:11+01:00,0.1
2015-02-11T00:00:19+01:00,0.11
2015-02-11T00:30:49+01:00,0.08
2015-02-11T01:00:17+01:00,0.08
2015-02-11T01:30:47+01:00,0.07
2015-02-11T02:00:16+01:00,0.07
2015-02-11T02:30:47+01:00,0.08
2015-02-11T03:00:16+01:00,0.07
2015-02-11T03:30:45+01:00,0.08
2015-02-11T04:00:15+01:00,0.07
2015-02-11T04:30:44+01:00,0.08
2015-02-11T05:00:13+01:00,0.08
2015-02-11T05:30:43+01:00,0.07
2015-02-11T06:00:11+01:00,0.07
2015-02-11T06:30:42+01:00,0.08
2015-02-11T07:00:10+01:00,0.07
2015-02-11T07:30:42+01:00,0.07
2015-02-11T08:00:10+01:00,0.23
2015-02-11T08:07:17+01:00,1.2
2015-02-11T08:14:25+01:00,4.3
2015-02-11T08:21:31+01:00,19
2015-02-11T08:30:41+01:00,13.97
2015-02-11T08:44:55+01:00,10.89
2015-02-11T09:00:10+01:00,9.41
2015-02-11T09:14:24+01:00,16.82
2015-02-11T09:30:40+01:00,29.45
2015-02-11T09:43:53+01:00,44.6
2015-02-11T10:00:09+01:00,92.36
2015-02-11T10:30:39+01:00,114.16
2015-02-11T11:00:07+01:00,173.79
2015-02-11T11:30:37+01:00,215.58
2015-02-11T12:00:06+01:00,318.32
2015-02-11T12:30:36+01:00,510.73
2015-02-11T13:00:05+01:00,589.6
2015-02-11T13:30:35+01:00,606.27
2015-02-11T14:00:04+01:00,615.71
