date,value
2015-02-10T21:38:56+01:00,20.53
2015-02-10T22:30:51+01:00,20.6
2015-02-10T23:00:20+01:00,20.57
2015-02-10T23:30:50+01:00,20.59
2015-02-10T23:45:04+01:00,20.59
2015-02-11T00:00:19+01:00,21.33
2015-02-11T00:14:32+01:00,20.89
2015-02-11T00:30:49+01:00,20.94
2015-02-11T01:00:17+01:00,20.88
2015-02-11T01:30:47+01:00,21.1
2015-02-11T02:00:16+01:00,20.94
2015-02-11T02:30:47+01:00,20.92
2015-02-11T03:00:16+01:00,20.98
2015-02-11T03:30:45+01:00,20.9
2015-02-11T04:00:15+01:00,20.96
2015-02-11T04:30:44+01:00,21.05
2015-02-11T05:00:13+01:00,20.95
2015-02-11T05:30:43+01:00,21.02
2015-02-11T06:00:11+01:00,20.97
2015-02-11T06:30:42+01:00,20.77
2015-02-11T07:00:10+01:00,20.64
2015-02-11T07:30:42+01:00,20.5
2015-02-11T08:00:10+01:00,20.54
2015-02-11T08:14:25+01:00,20.54
2015-02-11T08:30:41+01:00,20.87
2015-02-11T09:00:10+01:00,20.98
2015-02-11T09:30:40+01:00,20.95
2015-02-11T09:44:54+01:00,21.48
2015-02-11T10:00:09+01:00,21.07
2015-02-11T10:14:22+01:00,20.97
2015-02-11T10:30:39+01:00,20.74
2015-02-11T10:44:52+01:00,20.41
2015-02-11T11:00:07+01:00,20.09
2015-02-11T11:14:21+01:00,19.72
2015-02-11T11:30:37+01:00,19.22
2015-02-11T11:44:51+01:00,19.12
2015-02-11T12:00:06+01:00,18.87
2015-02-11T12:30:36+01:00,18.97
2015-02-11T13:00:05+01:00,19.32
2015-02-11T13:14:18+01:00,19.72
2015-02-11T13:30:35+01:00,19.87
2015-02-11T14:00:04+01:00,19.87
2015-02-11T14:30:34+01:00,19.87
2015-02-11T15:00:03+01:00,19.87
2015-02-11T15:30:33+01:00,19.87
2015-02-11T16:01:03+01:00,19.82
2015-02-11T16:15:17+01:00,19.72
2015-02-11T16:30:32+01:00,19.37
2015-02-11T17:01:03+01:00,19.17
2015-02-11T17:14:16+01:00,18.77
2015-02-11T17:30:31+01:00,18.47
2015-02-11T17:44:45+01:00,18.42
2015-02-11T17:51:52+01:00,17.97
